"Article","Summary","Stance"
"The full cost of damage in Newton Stewart, one of the areas worst affected, is still being assessed.
Repair work is ongoing in Hawick and many roads in Peeblesshire remain badly affected by standing water.
Trains on the west coast mainline face disruption due to damage at the Lamington Viaduct.
Many businesses and householders were affected by flooding in Newton Stewart after the River Cree overflowed into the town.
First Minister Nicola Sturgeon visited the area to inspect the damage.
The waters breached a retaining wall, flooding many commercial properties on Victoria Street - the main shopping thoroughfare.
Jeanette Tate, who owns the Cinnamon Cafe which was badly affected, said she could not fault the multi-agency response once the flood hit.
However, she said more preventative work could have been carried out to ensure the retaining wall did not fail.
""It is difficult but I do think there is so much publicity for Dumfries and the Nith - and I totally appreciate that - but it is almost like we're neglected or forgotten,"" she said.
""That may not be true but it is perhaps my perspective over the last few days.
""Why were you not ready to help us a bit more when the warning and the alarm alerts had gone out?""
Meanwhile, a flood alert remains in place across the Borders because of the constant rain.
Peebles was badly hit by problems, sparking calls to introduce more defences in the area.
Scottish Borders Council has put a list on its website of the roads worst affected and drivers have been urged not to ignore closure signs.
The Labour Party's deputy Scottish leader Alex Rowley was in Hawick on Monday to see the situation first hand.
He said it was important to get the flood protection plan right but backed calls to speed up the process.
""I was quite taken aback by the amount of damage that has been done,"" he said.
""Obviously it is heart-breaking for people who have been forced out of their homes and the impact on businesses.""
He said it was important that ""immediate steps"" were taken to protect the areas most vulnerable and a clear timetable put in place for flood prevention plans.
Have you been affected by flooding in Dumfries and Galloway or the Borders? Tell us about your experience of the situation and how it was handled. Email us on selkirk.news@bbc.co.uk or dumfries@bbc.co.uk.","The recent flooding in Dumfries and Galloway and the Borders has caused significant damage, affecting businesses, homes, and infrastructure. The River Cree overflowed in Newton Stewart, causing flooding in the town centre. The Lamington Viaduct is damaged, disrupting train services. The Scottish Borders Council is urging drivers to avoid flooded roads and has put a list of affected roads online. The Labour Party is calling for a faster implementation of flood protection plans.","Neutral"
"A fire alarm went off at the Holiday Inn in Hope Street at about 04:20 BST on Saturday and guests were asked to leave the hotel.
As they gathered outside they saw the two buses, parked side-by-side in the car park, engulfed by flames.
One of the tour groups is from Germany, the other from China and Taiwan. It was their first night in Northern Ireland.
The driver of one of the buses said many of the passengers had left personal belongings on board and these had been destroyed.
Both groups have organised replacement coaches and will begin their tour of the north coast later than they had planned.
Police have appealed for information about the attack.
Insp David Gibson said: ""It appears as though the fire started under one of the buses before spreading to the second.
""While the exact cause is still under investigation, it is thought that the fire was started deliberately.""","A fire broke out at a Holiday Inn in Northern Ireland, engulfing two tour buses. The fire was started deliberately, according to police. Passengers from Germany, China, and Taiwan were on board, and their tour plans were disrupted. 
Police are investigating the cause of the fire.","Neutral"
"Ferrari appeared in a position to challenge until the final laps, when the Mercedes stretched their legs to go half a second clear of the red cars.
Sebastian Vettel will start third ahead of team-mate Kimi Raikkonen.
The world champion subsequently escaped punishment for reversing in the pit lane, which could have seen him stripped of pole.
But stewards only handed Hamilton a reprimand, after governing body the FIA said ""no clear instruction was given on where he should park"".
Belgian Stoffel Vandoorne out-qualified McLaren team-mate Jenson Button on his Formula 1 debut.
Vandoorne was 12th and Button 14th, complaining of a handling imbalance on his final lap but admitting the newcomer ""did a good job and I didn't"".
Mercedes were wary of Ferrari's pace before qualifying after Vettel and Raikkonen finished one-two in final practice, and their concerns appeared to be well founded as the red cars mixed it with the silver through most of qualifying.
After the first runs, Rosberg was ahead, with Vettel and Raikkonen splitting him from Hamilton, who made a mistake at the final corner on his first lap.
But Hamilton saved his best for last, fastest in every sector of his final attempt, to beat Rosberg by just 0.077secs after the German had out-paced him throughout practice and in the first qualifying session.
Vettel rued a mistake at the final corner on his last lap, but the truth is that with the gap at 0.517secs to Hamilton there was nothing he could have done.
The gap suggests Mercedes are favourites for the race, even if Ferrari can be expected to push them.
Vettel said: ""Last year we were very strong in the race and I think we are in good shape for tomorrow. We will try to give them a hard time.""
Vandoorne's preparations for his grand prix debut were far from ideal - he only found out he was racing on Thursday when FIA doctors declared Fernando Alonso unfit because of a broken rib sustained in his huge crash at the first race of the season in Australia two weeks ago.
The Belgian rookie had to fly overnight from Japan, where he had been testing in the Super Formula car he races there, and arrived in Bahrain only hours before first practice on Friday.
He also had a difficult final practice, missing all but the final quarter of the session because of a water leak.
Button was quicker in the first qualifying session, but Vandoorne pipped him by 0.064secs when it mattered.
The 24-year-old said: ""I knew after yesterday I had quite similar pace to Jenson and I knew if I improved a little bit I could maybe challenge him and even out-qualify him and that is what has happened.
""Jenson is a very good benchmark for me because he is a world champion and he is well known to the team so I am very satisfied with the qualifying.""
Button, who was 0.5secs quicker than Vandoorne in the first session, complained of oversteer on his final run in the second: ""Q1 was what I was expecting. Q2 he did a good job and I didn't. Very, very good job. We knew how quick he was.""
The controversial new elimination qualifying system was retained for this race despite teams voting at the first race in Australia to go back to the 2015 system.
FIA president Jean Todt said earlier on Saturday that he ""felt it necessary to give new qualifying one more chance"", adding: ""We live in a world where there is too much over reaction.""
The system worked on the basis of mixing up the grid a little - Force India's Sergio Perez ended up out of position in 18th place after the team miscalculated the timing of his final run, leaving him not enough time to complete it before the elimination clock timed him out.
But it will come in for more criticism as a result of lack of track action at the end of each session. There were three minutes at the end of the first session with no cars on the circuit, and the end of the second session was a similar damp squib.
Only one car - Nico Hulkenberg's Force India - was out on the track with six minutes to go. The two Williams cars did go out in the final three minutes but were already through to Q3 and so nothing was at stake.
The teams are meeting with Todt and F1 commercial boss Bernie Ecclestone on Sunday at noon local time to decide on what to do with qualifying for the rest of the season.
Todt said he was ""optimistic"" they would be able to reach unanimous agreement on a change.
""We should listen to the people watching on TV,"" Rosberg said. ""If they are still unhappy, which I am sure they will be, we should change it.""
Red Bull's Daniel Ricciardo was fifth on the grid, ahead of the Williams cars of Valtteri Bottas and Felipe Massa and Force India's Nico Hulkenberg.
Ricciardo's team-mate Daniil Kvyat was eliminated during the second session - way below the team's expectation - and the Renault of Brit Jolyon Palmer only managed 19th fastest.
German Mercedes protege Pascal Wehrlein managed an excellent 16th in the Manor car.
Bahrain GP qualifying results
Bahrain GP coverage details","The 2016 Bahrain Grand Prix qualifying saw Mercedes dominate, with Lewis Hamilton securing pole position ahead of Sebastian Vettel. Ferrari struggled to match Mercedes' pace, but still managed to challenge for the top spots. Stoffel Vandoorne made a strong debut for McLaren, out-qualifying Jenson Button. The controversial elimination qualifying system was retained, but faced criticism for lack of track action at the end of each session. The teams are meeting with FIA officials to discuss potential changes to the qualifying format.","Neutral"
"John Edward Bates, formerly of Spalding, Lincolnshire, but now living in London, faces a total of 22 charges, including two counts of indecency with a child.
The 67-year-old is accused of committing the offences between March 1972 and October 1989.
Mr Bates denies all the charges.
Grace Hale, prosecuting, told the jury that the allegations of sexual abuse were made by made by four male complainants and related to when Mr Bates was a scout leader in South Lincolnshire and Cambridgeshire.
""The defendant says nothing of that sort happened between himself and all these individuals. He says they are all fabricating their accounts and telling lies,"" said Mrs Hale.
The prosecutor claimed Mr Bates invited one 15 year old to his home offering him the chance to look at cine films made at scout camps but then showed him pornographic films.
She told the jury that the boy was then sexually abused leaving him confused and frightened.
Mrs Hale said: ""The complainant's recollection is that on a number of occasions sexual acts would happen with the defendant either in the defendant's car or in his cottage.""
She told the jury a second boy was taken by Mr Bates for a weekend in London at the age of 13 or 14 and after visiting pubs he was later sexually abused.
Mrs Hale said two boys from the Spalding group had also made complaints of being sexually abused.
The jury has been told that Mr Bates was in the RAF before serving as a Lincolnshire Police officer between 1976 and 1983.
The trial, which is expected to last two weeks, continues.","John Edward Bates, a 67-year-old former scout leader, is accused of sexually abusing four male complainants between 1972 and 1989. He denies all charges. The prosecution alleges that Bates invited boys to his home, showed them pornographic films, and sexually abused them. The trial is expected to last two weeks.","Neutral"
"Patients and staff were evacuated from Cerahpasa hospital on Wednesday after a man receiving treatment at the clinic threatened to shoot himself and others.
Officers were deployed to negotiate with the man, a young police officer.
Earlier reports that the armed man had taken several people hostage proved incorrect.
The chief consultant of Cerahpasa hospital, Zekayi Kutlubay, who was evacuated from the facility, said that there had been ""no hostage crises"", adding that the man was ""alone in the room"".
Dr Kutlubay said that the man had been receiving psychiatric treatment for the past two years.
He said that the hospital had previously submitted a report stating that the man should not be permitted to carry a gun.
""His firearm was taken away,"" Dr Kutlubay said, adding that the gun in the officer's possession on Wednesday was not his issued firearm.
The incident comes amid tension in Istanbul following several attacks in crowded areas, including the deadly assault on the Reina nightclub on New Year's Eve which left 39 people dead.","A young police officer at Cerahpasa hospital threatened to shoot himself and others, prompting a police evacuation. The man, receiving psychiatric treatment, had his firearm confiscated previously. The incident occurred amidst heightened security concerns in Istanbul following recent attacks.","Neutral"
"Simone Favaro got the crucial try with the last move of the game, following earlier touchdowns by Chris Fusaro, Zander Fagerson and Junior Bulumakau.
Rynard Landman and Ashton Hewitt got a try in either half for the Dragons.
Glasgow showed far superior strength in depth as they took control of a messy match in the second period.
Home coach Gregor Townsend gave a debut to powerhouse Fijian-born Wallaby wing Taqele Naiyaravoro, and centre Alex Dunbar returned from long-term injury, while the Dragons gave first starts of the season to wing Aled Brew and hooker Elliot Dee.
Glasgow lost hooker Pat McArthur to an early shoulder injury but took advantage of their first pressure when Rory Clegg slotted over a penalty on 12 minutes.
It took 24 minutes for a disjointed game to produce a try as Sarel Pretorius sniped from close range and Landman forced his way over for Jason Tovey to convert - although it was the lock's last contribution as he departed with a chest injury shortly afterwards.
Glasgow struck back when Fusaro drove over from a rolling maul on 35 minutes for Clegg to convert.
But the Dragons levelled at 10-10 before half-time when Naiyaravoro was yellow-carded for an aerial tackle on Brew and Tovey slotted the easy goal.
The visitors could not make the most of their one-man advantage after the break as their error count cost them dearly.
It was Glasgow's bench experience that showed when Mike Blair's break led to a short-range score from teenage prop Fagerson, converted by Clegg.
Debutant Favaro was the second home player to be sin-binned, on 63 minutes, but again the Warriors made light of it as replacement wing Bulumakau, a recruit from the Army, pounced to deftly hack through a bouncing ball for an opportunist try.
The Dragons got back within striking range with some excellent combined handling putting Hewitt over unopposed after 72 minutes.
However, Favaro became sinner-turned-saint as he got on the end of another effective rolling maul to earn his side the extra point with the last move of the game, Clegg converting.
Dragons director of rugby Lyn Jones said: ""We're disappointed to have lost but our performance was a lot better [than against Leinster] and the game could have gone either way.
""Unfortunately too many errors behind the scrum cost us a great deal, though from where we were a fortnight ago in Dublin our workrate and desire was excellent.
""It was simply error count from individuals behind the scrum that cost us field position, it's not rocket science - they were correct in how they played and we had a few errors, that was the difference.""
Glasgow Warriors: Rory Hughes, Taqele Naiyaravoro, Alex Dunbar, Fraser Lyle, Lee Jones, Rory Clegg, Grayson Hart; Alex Allan, Pat MacArthur, Zander Fagerson, Rob Harley (capt), Scott Cummings, Hugh Blake, Chris Fusaro, Adam Ashe.
Replacements: Fergus Scott, Jerry Yanuyanutawa, Mike Cusack, Greg Peterson, Simone Favaro, Mike Blair, Gregor Hunter, Junior Bulumakau.
Dragons: Carl Meyer, Ashton Hewitt, Ross Wardle, Adam Warren, Aled Brew, Jason Tovey, Sarel Pretorius; Boris Stankovich, Elliot Dee, Brok Harris, Nick Crosswell, Rynard Landman (capt), Lewis Evans, Nic Cudd, Ed Jackson.
Replacements: Rhys Buckley, Phil Price, Shaun Knight, Matthew Screech, Ollie Griffiths, Luc Jones, Charlie Davies, Nick Scott.","Glasgow Warriors secured a hard-fought victory over the Dragons in a match marred by errors and missed opportunities. The Warriors dominated the second half, capitalizing on their bench strength and a strong performance from their forwards. Favaro's late try sealed the win for Glasgow, despite the Dragons' spirited fightback.","Neutral"
"Veronica Vanessa Chango-Alverez, 31, was killed and another man injured when an Audi A3 struck them in Streatham High Road at 05:30 GMT on Saturday.
Ten minutes before the crash the car was in London Road, Croydon, when a Volkswagen Passat collided with a tree.
Police want to trace Nathan Davis, 27, who they say has links to the Audi. The car was abandoned at the scene.
Ms Chango-Alverez died from multiple injuries, a post-mortem examination found.
No arrests have been made as yet, police said.
Ms Chango-Alverez was staying at her mother's home in Streatham High Road.
She was born in Ecuador and had lived in London for 13 years, BBC London reporter Gareth Furby said. At the time of the crash, she was on her way to work in a hotel.
The remains of the bus stop, which was extensively damaged in the crash, have been removed.
Flowers have been left at the site in tribute to the victim.
A statement from her brother Kevin Raul Chango-Alverez said: ""My family has had its heart torn out, at this Christmas time, we will never be the same again.
""On Friday night we were together as a family with Veronica meeting her newly born nephew and preparing for Christmas.
""I last saw her alive as she left to go to work on Saturday morning, but moments later I was holding her hand as she passed away in the street.""
Describing the crash as ""horrific"" Det Insp Gordon Wallace, said: ""The family are devastated. The memory of this senseless death will be with them each time they leave their home.
""The driver fled the scene abandoning the grey Audi, which was extensively damaged.
""We are looking to speak to Mr Nathan Davis in relation to this collision.""
The 51-year-old man injured at the bus stop remains in a critical condition in hospital while the condition of the 29-year-old driver of the Volkswagen is now stable.","A fatal car crash in Streatham High Road, London, has claimed the life of Veronica Vanessa Chango-Alverez, a 31-year-old woman, and injured another man. Police are searching for the driver of the Audi A3 involved in the crash.","Neutral"
"Belgian cyclist Demoitie died after a collision with a motorbike during Belgium's Gent-Wevelgem race.
The 25-year-old was hit by the motorbike after several riders came down in a crash as the race passed through northern France.
""The main issues come when cars or motorbikes have to pass the peloton and pass riders,"" Team Sky's Rowe said.
""That is the fundamental issue we're looking into.
""There's a lot of motorbikes in and around the race whether it be cameras for TV, photographers or police motorbikes.
""In total there's around 50 motorbikes that work on each race.
""We've got a riders union and we're coming together to think of a few ideas, whether we cap a speed limit on how fast they can overtake us.
""Say we put a 10 kilometres per hour limit on it, if we're going 50kph they're only allowed to pass us 60kph or something like that.""
Demoitie, who was riding for the Wanty-Gobert team, was taken to hospital in Lille but died later.
The sport's governing body, the UCI, said it would co-operate with all relevant authorities in an investigation into the incident.
The Professional Cyclists' Association (CPA) issued a statement asking what would be done to improve safety.
Despite Demoitie's death, attitudes to road racing will stay the same says Rowe, who has been competing in Three Days of De Panne race in Belgium.
""As soon as that element of fear slips into your mind and you start thinking of things that could happen, that's when you're doomed to fail,"" he told BBC Wales Sport.
""If you start thinking about crashes and the consequences and what could potentially happen then you're never going to be at the front of the peloton and you're never going to win any races.""
In a separate incident, another Belgian cyclist, Daan Myngheer, 22, died in hospital after suffering a heart attack during the first stage of the Criterium International in Corsica.","A Belgian cyclist, Demoitie, died after a collision with a motorbike during the Gent-Wevelgem race. The incident highlights concerns about safety in road racing, particularly the presence of motorbikes in the peloton. The UCI and CPA are investigating the incident, while the sport's governing body remains optimistic about the future of road racing despite the tragedy.","Neutral"
"Gundogan, 26, told BBC Sport he ""can see the finishing line"" after tearing cruciate knee ligaments in December, but will not rush his return.
The German missed the 2014 World Cup following back surgery that kept him out for a year, and sat out Euro 2016 because of a dislocated kneecap.
He said: ""It is heavy mentally to accept that.""
Gundogan will not be fit for the start of the Premier League season at Brighton on 12 August but said his recovery time is now being measured in ""weeks"" rather than months.
He told BBC Sport: ""It is really hard always to fall and fight your way back. You feel good and feel ready, then you get the next kick.
""The worst part is behind me now. I want to feel ready when I am fully back. I want to feel safe and confident. I don't mind if it is two weeks or six.""
Gundogan made 15 appearances and scored five goals in his debut season for City following his £20m move from Borussia Dortmund.
He is eager to get on the field again and was impressed at the club's 4-1 win over Real Madrid in a pre-season game in Los Angeles on Wednesday.
Manager Pep Guardiola has made five new signings already this summer and continues to have an interest in Arsenal forward Alexis Sanchez and Monaco's Kylian Mbappe.
Gundogan said: ""Optimism for the season is big. It is huge, definitely.
""We felt that last year as well but it was a completely new experience for all of us. We know the Premier League a bit more now and can't wait for the season to start.""
City complete their three-match tour of the United States against Tottenham in Nashville on Saturday.
Chelsea manager Antonio Conte said earlier this week he did not feel Tottenham were judged by the same standards as his own side, City and Manchester United.
Spurs have had the advantage in their recent meetings with City, winning three and drawing one of their last four Premier League games.
And Gundogan thinks they are a major threat.
He said: ""Tottenham are a great team. They have the style of football. They have young English players. Our experience last season shows it is really tough to beat them.
""They are really uncomfortable to play against.
""I am pretty sure, even if they will not say it loud, the people who know the Premier League know Tottenham are definitely a competitor for the title.""","Despite a setback with a knee injury, Ilkay Gundogan remains optimistic about the upcoming Premier League season. He is focused on a full recovery and is eager to return to the field, but he is not rushing the process. He acknowledges the challenge Tottenham poses and believes they are a serious contender for the title.","Neutral"
"The crash happened about 07:20 GMT at the junction of the A127 and Progress Road in Leigh-on-Sea, Essex.
The man, who police said is aged in his 20s, was treated at the scene for a head injury and suspected multiple fractures, the ambulance service said.
He was airlifted to the Royal London Hospital for further treatment.
The Southend-bound carriageway of the A127 was closed for about six hours while police conducted their initial inquiries.
A spokeswoman for Essex Police said it was not possible comment to further as this time as the ""investigation is now being conducted by the IPCC"".","A man in his 20s was seriously injured in a car crash in Leigh-on-Sea, Essex. He was airlifted to hospital and the road was closed for several hours. The police are now investigating the incident with the Independent Police Complaints Commission.","Neutral"
